Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Album,End Time,End Time (Adj),Track Uri,Unique ID,F1,Minutes Listened,Ms Played
2021,January,0,renforshort,"fuck, i luv my friends",,1/21/2021 6:52:00 PM,1/21/2021 1:52:00 PM,,"renforshort:fuck, i luv my friends",4717,2.73085,163851
2020,October,0,salem ilese,Mad at Disney,,10/11/2020 7:07:00 PM,10/11/2020 2:07:00 PM,,salem ilese:Mad at Disney,1668,0,0
2020,October,0,salem ilese,Mad at Disney,,10/11/2020 7:42:00 PM,10/11/2020 2:42:00 PM,,salem ilese:Mad at Disney,1678,2.280633333,136838
2021,August,0,teddy<3,Under the Blue,,8/26/2021 10:36:00 AM,8/26/2021 5:36:00 AM,,teddy<3:Under the Blue,15813,3.4711,208266
2021,August,0,teddy<3,Under the Blue,,8/29/2021 1:37:00 PM,8/29/2021 8:37:00 AM,,teddy<3:Under the Blue,15956,3.4711,208266
2021,September,0,tobi lou,I Was Sad Last Night I'm OK Now,,9/2/2021 9:30:00 AM,9/2/2021 4:30:00 AM,,tobi lou:I Was Sad Last Night I'm OK Now,16065,3.176,190560
2021,September,0,tobi lou,I Was Sad Last Night I'm OK Now,,9/4/2021 3:16:00 PM,9/4/2021 10:16:00 AM,,tobi lou:I Was Sad Last Night I'm OK Now,16124,3.176,190560
2020,October,0,tomemitsu,I'm Just Waiting for Your Love,,10/10/2020 9:08:00 PM,10/10/2020 4:08:00 PM,,tomemitsu:I'm Just Waiting for Your Love,1557,5.676183333,340571
2021,August,1,Ed Sheeran,Give Me Love,+,8/19/2021 7:57:00 PM,8/19/2021 2:57:00 PM,1NvOOkafczKxO5YXRR01ax,Ed Sheeran:Give Me Love,15581,0.0576,3456
2021,March,1,Ed Sheeran,Give Me Love,+,3/3/2021 7:43:00 PM,3/3/2021 2:43:00 PM,1NvOOkafczKxO5YXRR01ax,Ed Sheeran:Give Me Love,6178,8.7731,526386
2021,June,1,Ed Sheeran,The A Team,+,6/11/2021 7:43:00 PM,6/11/2021 2:43:00 PM,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran:The A Team,11362,0.0294,1764
2020,October,1,Ed Sheeran,The A Team,+,10/3/2020 2:27:00 PM,10/3/2020 9:27:00 AM,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran:The A Team,1003,0.104866667,6292
2020,October,1,Ed Sheeran,The A Team,+,10/3/2020 3:03:00 PM,10/3/2020 10:03:00 AM,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran:The A Team,1005,4.201266667,252076
2021,March,1,Ed Sheeran,The A Team,+,3/3/2021 6:57:00 PM,3/3/2021 1:57:00 PM,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran:The A Team,6167,4.306216667,258373
2021,March,1,Ed Sheeran,The A Team,+,3/3/2021 8:03:00 PM,3/3/2021 3:03:00 PM,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran:The A Team,6183,4.306216667,258373
2021,March,1,Ed Sheeran,The A Team,+,3/26/2021 5:23:00 PM,3/26/2021 12:23:00 PM,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran:The A Team,7506,4.306216667,258373
2021,March,1,Ed Sheeran,"You Need Me, I Don't Need You",+,3/3/2021 7:30:00 PM,3/3/2021 2:30:00 PM,2DCeRqdQkjtihpsv79TAJh,"Ed Sheeran:You Need Me, I Don't Need You",6176,3.67355,220413
2021,March,1,Ed Sheeran,This,+,3/4/2021 6:06:00 PM,3/4/2021 1:06:00 PM,2aMkInuJrM9arjA8dpQJqC,Ed Sheeran:This,6225,0.017766667,1066
2021,March,1,Ed Sheeran,This,+,3/3/2021 7:19:00 PM,3/3/2021 2:19:00 PM,2aMkInuJrM9arjA8dpQJqC,Ed Sheeran:This,6173,3.264,195840
2021,June,1,Ed Sheeran,Small Bump,+,6/9/2021 11:26:00 PM,6/9/2021 6:26:00 PM,2sKgjO8vxk7znTpwNAptaW,Ed Sheeran:Small Bump,11198,0.01315,789
2021,June,1,Ed Sheeran,Small Bump,+,6/14/2021 5:55:00 PM,6/14/2021 12:55:00 PM,2sKgjO8vxk7znTpwNAptaW,Ed Sheeran:Small Bump,11533,0.018033333,1082
